,term,line,name,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
1140,202110,2호선,건대입구,59675,40024,42568,54200,67794,81360,37.540693,127.07023
1141,202110,중앙선,원덕,806,663,944,816,445,673,37.468672,127.547076
1142,202110,안산선,정왕,13712,23464,13942,11562,16449,14186,37.351735,126.742989
1143,202110,우이신설선,북한산보국문,18175,6149,9343,6978,5586,13407,37.612343,127.008009
1144,202110,7호선,건대입구,13706,23932,17163,19648,25980,19793,37.540693,127.07023
1145,202110,장항선,배방,2375,1581,1862,1648,1563,2284,36.777629,127.052991
1146,202110,우이신설선,신설동,1685,7886,3138,2815,4782,1324,37.575297,127.025087
1147,202110,1호선,제기동,22613,28898,39510,40355,20263,16348,37.578103,127.034893
1148,202110,중앙선,지평,204,182,136,158,85,138,37.476444,127.629617
1149,202110,일산선,원당,35307,10070,16349,13490,9578,25643,37.653324,126.843041
1150,202110,중앙선,아신,1429,1056,1249,1166,837,1169,37.51382,127.443173
1151,202110,중앙선,국수,1772,1517,1714,1314,749,1405,37.516169,127.399367
1152,202110,우이신설선,솔밭공원,8057,2151,3858,3340,1622,5176,37.656088,127.013252
1153,202110,1호선,동묘앞,7269,15388,25303,27517,13740,7084,37.572627,127.016429
1154,202110,중앙선,오빈,783,534,619,541,407,606,37.506062,127.473868
1155,202110,6호선,동묘앞,9638,16293,16245,14901,13455,10258,37.572627,127.016429
1156,202110,2호선,신설동,4307,6532,6478,5284,5376,3059,37.575297,127.025087
1157,202110,1호선,신설동,17838,36060,20730,18387,26088,16254,37.575297,127.025087
1158,202110,중앙선,신원,400,590,662,442,384,239,37.525545,127.372921
1159,202110,우이신설선,화계,10791,3541,5392,4598,2692,6883,37.634802,127.017519
1160,202110,안산선,반월,12923,4802,6284,5348,4506,9643,37.312212,126.903524
1161,202110,안산선,오이도,21433,11566,12513,12579,13132,17997,37.362357,126.738714
1162,202110,우이신설선,정릉,13433,4415,7340,5602,4444,9427,37.602798,127.01349
1163,202110,안산선,안산,18423,26534,16404,14104,25137,18099,37.327082,126.788532
1164,202110,안산선,산본,40644,20148,22209,22512,20103,38820,37.358101,126.933274
1165,202110,장항선,아산,5187,5332,5672,5373,6862,5387,36.792053,127.104361
1166,202110,1호선,동대문,16293,18274,21650,21294,16585,14609,37.57142,127.009745
1167,202110,안산선,수리산,14031,4649,5823,4394,3101,7917,37.349801,126.925365
1168,202110,장항선,쌍용(나사렛대),4952,2993,3722,3323,2611,3944,36.793759,127.1214
1169,202110,경원선,청량리(서울시립대입구),28160,22769,29590,32210,25885,28460,37.580178,127.046835
1170,202110,일산선,대화,37736,14879,18325,13460,12389,21937,37.676087,126.747569
1171,202110,우이신설선,삼양사거리,6738,3141,4234,4035,2381,4886,37.621512,127.02048
1172,202110,1호선,종각,7769,125051,35014,38872,92912,18333,37.570161,126.982923
1173,202110,중앙선,도농,33818,8995,13071,10199,8052,23009,37.608806,127.161153
1174,202110,1호선,청량리(서울시립대입구),33304,26641,39801,39908,26659,28169,37.580178,127.046835
1175,202110,경의선,서울역,2319,21721,3550,4188,11846,3077,37.554648,126.972559
1176,202110,중앙선,도심,8253,2870,3288,2345,1963,4312,37.579622,127.222672
1177,202110,장항선,온양온천,7159,6199,8869,8282,4654,6467,36.780483,127.003249
1178,202110,경부선,서울역,10552,3957,10742,2515,12481,3962,37.554648,126.972559
1179,202110,4호선,서울역,11026,41682,11450,20836,23262,20045,37.554648,126.972559
1180,202110,1호선,서울역,43671,117929,61416,58160,97182,49182,37.554648,126.972559
1181,202110,안산선,초지,13763,8284,6047,5349,5443,10552,37.320646,126.805913
1182,202110,안산선,신길온천,4882,2426,2420,1957,2101,3597,37.338212,126.765844
1183,202110,안산선,중앙,38092,24461,25341,25427,27145,40241,37.315941,126.838573
1184,202110,중앙선,양수,4641,3630,4562,4410,3031,3602,37.545981,127.329098
1185,202110,중앙선,용문,3384,3420,7113,7079,3129,3002,37.48223,127.594647
1186,202110,일산선,대곡,5179,2415,2672,2022,2466,2826,37.631626,126.811024
1187,202110,4호선,동대문,8205,56291,35647,38489,41044,10900,37.57142,127.009745
1188,202110,중앙선,망우,21555,8730,11648,10812,8023,17109,37.59955,127.091909
1189,202110,2호선,구로디지털단지,126157,139307,61246,53670,99525,101315,37.485266,126.901401
1190,202110,안산선,한대앞,22703,13192,14055,12490,11565,20051,37.309689,126.85344
1191,202110,일산선,정발산,8110,13562,11712,13270,14972,10936,37.659477,126.773359
1192,202110,2호선,강남,43681,222711,93522,108688,201274,88699,37.497175,127.027926
1193,202110,공항철도 1호선,서울역,9005,16581,12187,12004,18166,11792,37.554648,126.972559
1194,202109,경원선,소요산,3705,3821,8439,7632,3969,1891,37.9481,127.061034
1195,202109,경강선,초월,9438,3234,3488,2489,2622,6668,37.374419,127.299
1196,202109,경춘선,춘천,1519,2754,3617,3242,2962,1787,37.885054,127.717023
1197,202109,3호선,충무로,0,0,1,0,3,0,37.561243,126.99428
1198,202109,2호선,신촌,31028,54856,43079,48423,61606,46745,37.555134,126.936893
1199,202109,경원선,지행,16113,7230,8859,7938,7105,13809,37.892334,127.055716
1200,202109,1호선,동묘앞,6831,15022,21977,23930,13224,6911,37.572627,127.016429
1201,202109,경강선,판교,3077,14460,4036,4538,11379,3140,37.394761,127.111217
1202,202109,경의선,신촌,493,3298,874,1059,1920,760,37.555134,126.936893
1203,202109,경인선,온수(성공회대입구),16967,8453,9425,7028,6263,13175,37.492258,126.823388
1204,202109,과천선,경마공원,1926,3036,1646,1374,2165,1395,37.443885,127.007888
1205,202109,7호선,용마산(용마폭포공원),20010,6255,6924,6466,4492,13587,37.573647,127.086727
1206,202109,경강선,이매,2711,1749,1257,1000,1495,1737,37.396104,127.12827
1207,202109,분당선,이매,10761,8947,7347,5989,7928,8913,37.396104,127.12827
1208,202109,중앙선,양수,4258,3466,3937,3792,2903,3347,37.545981,127.329098
1209,202109,과천선,대공원,1313,9994,7804,10008,8962,1197,37.435675,127.006523
1210,202109,6호선,상월곡(한국과학기술연구원),19287,6605,7180,5804,5075,11853,37.606377,127.048491
1211,202109,7호선,논현,10138,73231,17698,21533,49407,15634,37.511093,127.021415
1212,202109,2호선,신정네거리,31823,7354,12101,10988,7015,25059,37.520074,126.852912
1213,202109,7호선,신중동,30024,24637,15261,14348,20104,25167,37.503048,126.77596
1214,202109,5호선,영등포구청,5963,10158,4010,3681,6862,4683,37.52497,126.895951
1215,202109,2호선,영등포구청,31796,60845,24341,22494,40980,26863,37.52497,126.895951
1216,202109,안산선,초지,12280,7574,5082,4590,5104,9516,37.320646,126.805913
1217,202109,경부선,당정,16130,8187,6455,4948,6335,12088,37.344285,126.948345
1218,202109,5호선,광화문(세종문화회관),9363,113111,25626,28345,75393,15053,37.571026,126.976669
1219,202109,경의선,서강대,2924,4404,2805,2721,3765,2718,37.551881,126.935711
1220,202109,1호선,제기동,22328,29430,36798,38089,19737,15874,37.578103,127.034893
1221,202109,경강선,이천,4998,5069,3917,3585,3979,4762,37.265579,127.44226
1222,202109,과천선,과천,15382,6043,8004,5453,4950,10887,37.433021,126.996568
1223,202109,6호선,새절(신사),40783,9223,14928,12358,8813,27781,37.591148,126.913629
1224,202109,5호선,여의나루,4767,32567,8811,17054,37949,16696,37.527098,126.932901
1225,202109,일산선,정발산,7460,12800,10411,11936,13886,9876,37.659477,126.773359
1226,202109,중앙선,양평,4655,4844,5790,5231,4035,4714,37.492832,127.491814
